Gene	Weight	Module	Annotation	Name
LOC_Os07g04980	0.936864434	black		
LOC_Os06g10970	0.968427126	red		
LOC_Os01g74370	0.964683837	tan		
LOC_Os02g15070	0.939352537	pink		
LOC_Os04g22240	0.98974916	pink		
LOC_Os11g26790	0.970098356	purple	Salt	RAB21; Rab16A
LOC_Os05g06110	0.939492002	blue		
LOC_Os01g42520	0.969063716	red		
LOC_Os01g17390	0.924754153	red		
LOC_Os01g59150	0.92029755	blue		
LOC_Os11g42170	0.95328628	blue		
LOC_Os01g12820	0.934287348	pink		
LOC_Os02g20560	0.930479568	blue		
LOC_Os11g08930	0.980120831	red		
LOC_Os09g24690	0.963073271	brown		
LOC_Os04g20330	0.943633534	blue		
LOC_Os06g36240	0.975044173	red		
LOC_Os05g01230	0.980954012	pink		
LOC_Os01g52710	0.962606043	blue		
LOC_Os12g30550	0.969586128	red		
LOC_Os04g01540	0.919050877	turquoise		
LOC_Os01g50170	0.952933074	midnightblue		
LOC_Os04g43170	0.954725899	purple		
LOC_Os02g56130	0.912207484	brown		
LOC_Os05g41230	0.96961317	brown		
LOC_Os06g45200	0.990134605	red		
LOC_Os02g50630	0.948574629	green		
LOC_Os07g15530	0.976123852	red		
LOC_Os10g38920	0.920613901	blue		
LOC_Os11g10310	0.901773161	black		
LOC_Os08g35710	0.973805398	blue		
LOC_Os07g13580	0.933470603	red		
LOC_Os02g10350	0.972963203	black		
LOC_Os11g35080	0.901060377	blue		
LOC_Os07g44740	0.958282481	brown		
LOC_Os10g41430	0.906294908	green		
LOC_Os12g13640	0.909972215	green		
LOC_Os08g05530	0.930563519	brown		
LOC_Os06g03240	0.926167403	blue		
LOC_Os03g59660	0.915720865	red		
LOC_Os03g06570	0.932468109	blue		
LOC_Os02g38160	0.922198272	turquoise		
LOC_Os04g02850	0.948280447	turquoise		
LOC_Os01g67310	0.950019347	pink		
LOC_Os11g05562	0.970629096	brown		
LOC_Os02g29190	0.911651913	brown		
LOC_Os04g57280	0.966475831	red		
LOC_Os02g48820	0.955396931	brown		
LOC_Os04g48210	0.949629398	red		
LOC_Os01g43350	0.942419836	blue		
LOC_Os08g38280	0.924648157	red		
LOC_Os04g49980	0.986295441	purple		
LOC_Os06g38510	0.956603755	red		
LOC_Os04g41560	0.94960679	black		
LOC_Os03g45450	0.949987453	magenta		
LOC_Os03g10810	0.933932708	red		
LOC_Os05g39250	0.931708089	purple		
LOC_Os01g04550	0.92145025	magenta		
LOC_Os04g48010	0.911313463	blue		
LOC_Os09g33650	0.901413719	tan		
LOC_Os04g06590	0.938190338	pink		
LOC_Os09g32670	0.955705054	blue		
LOC_Os04g47480	0.963052172	blue		
LOC_Os03g17850	0.95622994	blue		
LOC_Os02g03520	0.943864721	red		
LOC_Os03g39020	0.938390366	green		
LOC_Os03g05520	0.912259758	green		
LOC_Os02g50490	0.900122658	blue		
LOC_Os02g53720	0.909580278	green		
LOC_Os01g32640	0.923621878	green		
LOC_Os08g13130	0.905226967	brown		
LOC_Os01g42900	0.919373205	blue		
LOC_Os08g02340	0.934762907	brown		
LOC_Os04g42210	0.991869959	red		
LOC_Os11g02830	0.910532166	green		
LOC_Os04g43230	0.910367946	green		
LOC_Os04g12920	0.902420357	turquoise		
LOC_Os03g18980	0.944352666	blue		
LOC_Os03g25050	0.948876658	brown		
LOC_Os02g39384	0.940372169	brown		
LOC_Os01g14890	0.963133598	turquoise		
LOC_Os10g19334	0.955396014	brown		
LOC_Os11g09670	0.932061005	brown		
LOC_Os09g26360	0.992300725	red		
LOC_Os07g44140	0.942921404	tan		
LOC_Os09g24143	0.943446034	red		
LOC_Os03g48810	0.975559648	pink		
LOC_Os01g10520	0.975913674	pink		
LOC_Os04g46780	0.974893632	blue		
LOC_Os01g06580	0.904228238	blue		
LOC_Os03g32220	0.905034612	tan		
LOC_Os03g03164	0.948134418	blue		
LOC_Os10g36703	0.931260135	black		
LOC_Os11g38964	0.928468902	brown		
LOC_Os11g06700	0.994600714	red		
LOC_Os05g14590	0.907250327	green		
LOC_Os06g42130	0.951148044	red		
LOC_Os07g18162	0.918381126	blue		
LOC_Os06g22330	0.945699113	blue		
LOC_Os02g37862	0.921064494	brown		
LOC_Os01g61610	0.937179325	red		
LOC_Os01g04900	0.984395587	turquoise		
LOC_Os08g34910	0.940910494	red		
LOC_Os03g49750	0.916649925	green		
LOC_Os03g47940	0.922924447	green		
LOC_Os01g12230	0.935151165	turquoise		
LOC_Os06g44470	0.918711909	red		
LOC_Os01g41600	0.921753395	red		
LOC_Os04g17650	0.937546606	blue		
LOC_Os10g39660	0.91968775	blue		
LOC_Os12g01449	0.964516963	black		
LOC_Os04g11130	0.973890678	red		
LOC_Os06g08360	0.914994866	red		
LOC_Os08g29770	0.94317919	red		
